Experiment Name,# Points,# Base Stations,NN Type,NN Size,Training Data Type,Dimensions,Accuracy,bs_type,addnoise_train,addnoise_test,noise_model,noise_params,bases_to_noise
exp1_setting1,100,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting2,200,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting3,500,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting4,1000,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting5,2000,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting6,4000,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting7,5000,3,bmlp,"[500,50]",Uniform,2,,colinear,False,False,,,
exp1_setting8,100,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,
exp1_setting9,200,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,
exp1_setting10,500,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,
exp1_setting11,1000,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,
exp1_setting12,2000,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,
exp1_setting13,4000,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,
exp1_setting14,5000,3,snbp-mlp,"[[500],[50]]",Uniform,2,,structured,False,False,,,